Parent_Code,WordIndex
PheCode:591.00,346
PheCode:112.00,347
RXNORM:4450,348
PheCode:465.40,349
6556-5,350
78012-2,351
CCS-PCS:217,352
PheCode:783.00,353
PheCode:079.00,354
RXNORM:5492,355
PheCode:706.10,356
RXNORM:10753,357
PheCode:367.00,358
20448-7,359
RXNORM:9143,360
PheCode:367.10,361
PheCode:949.00,362
NDFRT:N0000029273,363
NDFRT:N0000029466,364
PheCode:1002.00,365
2106-3,366
PheCode:371.30,367
PheCode:841.00,368
RXNORM:21949,369
PheCode:772.10,370
CCS-PCS:212,371
PheCode:643.10,372
PheCode:649.00,373
32167-9,374
25162-9,375
PheCode:655.00,376
PheCode:619.00,377
RXNORM:4278,378
19080-1,379
CCS-PCS:197,380
RXNORM:684879,381
RXNORM:1375947,382
CCS-PCS:237,383
PheCode:079.10,384
RXNORM:6915,385
13514-5,386
5194-6,387
21654-9,388
PheCode:636.00,389
PheCode:250.50,390
PheCode:636.30,391
RXNORM:8745,392
NDFRT:N0000029254,393
NDFRT:N0000029256,394
X7014-4,395
72224-9,396
33342-7,397
5796-8,398
PheCode:646.00,399
PheCode:291.80,400
PheCode:916.00,401
PheCode:386.90,402
X1727-7,403
PheCode:306.10,404
PheCode:638.00,405
PheCode:619.40,406
PheCode:643.00,407
RXNORM:35629,408
PheCode:1010.60,409
PheCode:656.00,410
1504-0,411
10998-3,412
PheCode:647.10,413
PheCode:614.52,414
RXNORM:2623,415
CCS-PCS:139,416
PheCode:644.00,417
PheCode:285.00,418
NDFRT:N0000029269,419
RXNORM:24947,420
RXNORM:82003,421
PheCode:512.70,422
PheCode:427.50,423
PheCode:427.70,424
RXNORM:214199,425
RXNORM:6902,426
PheCode:661.00,427
PheCode:650.00,428
PheCode:665.00,429
RXNORM:7238,430
RXNORM:466426,431
RXNORM:4053,432
RXNORM:5032,433
RXNORM:7824,434
RXNORM:89821,435
RXNORM:8163,436
RXNORM:3966,437
RXNORM:91198,438
RXNORM:8308,439
RXNORM:1815,440
RXNORM:404781,441
RXNORM:107602,442
CCS-PCS:131,443
CCS-PCS:136,444
CCS-PCS:135,445
CCS-PCS:137,446
RXNORM:90176,447
3084-1,448
PheCode:674.00,449
PheCode:635.30,450
RXNORM:214682,451
RXNORM:18993,452
PheCode:539.00,453
RXNORM:3322,454
1977-8,455
RXNORM:19711,456
PheCode:525.00,457
RXNORM:10689,458
PheCode:478.00,459
PheCode:599.90,460
PheCode:599.30,461
CCS-PCS:183,462
PheCode:411.30,463
X1655-2,464
19145-2,465
CCS-PCS:196,466
PheCode:979.00,467
PheCode:1100.00,468
X1516-4,469
RXNORM:2193,470
PheCode:090.20,471
PheCode:276.50,472
RXNORM:8704,473
6873-4,474
PheCode:840.00,475
PheCode:585.10,476
31950-9,477
40988-8,478
40982-1,479
34487-9,480
PheCode:558.00,481
PheCode:402.00,482
CCS-PCS:213,483
PheCode:289.40,484
PheCode:980.00,485
PheCode:479.00,486
PheCode:521.00,487
PheCode:698.00,488
PheCode:289.30,489
PheCode:041.00,490
RXNORM:6922,491
69937-1,492
PheCode:687.00,493
PheCode:689.00,494
PheCode:381.11,495
PheCode:292.10,496
PheCode:381.10,497
PheCode:369.50,498
PheCode:315.20,499
PheCode:949.10,500
PheCode:389.20,501
5671-3,502
PheCode:313.00,503
PheCode:264.30,504
4545-0,505
PheCode:512.90,506
PheCode:327.32,507
CCS-PCS:23,508
PheCode:389.00,509
PheCode:110.12,510
PheCode:477.00,511
PheCode:327.30,512
PheCode:401.10,513
PheCode:278.40,514
PheCode:261.40,515
4537-7,516
RXNORM:32624,517
PheCode:264.90,518
PheCode:315.10,519
PheCode:513.31,520
RXNORM:2400,521
PheCode:250.42,522
18262-6,523
PheCode:532.00,524
CCS-PCS:185,525
PheCode:327.31,526
30385-9,527
772-4,528
773-2,529
33037-3,530
43396-1,531
19146-0,532
41874-9,533
6020-2,534
6833-8,535
6075-6,536
6096-2,537
6095-4,538
6098-8,539
6265-3,540
6261-2,541
6085-5,542
6189-5,543
6183-8,544
7155-5,545
RXNORM:466588,546
PheCode:338.10,547
RXNORM:29046,548
PheCode:608.00,549
13965-9,550
2991-8,551
21365-2,552
30522-7,553
RXNORM:42347,554
PheCode:830.00,555
PheCode:721.20,556
PheCode:687.40,557
PheCode:561.20,558
RXNORM:21212,559
RXNORM:10831,560
PheCode:563.00,561
RXNORM:7597,562
PheCode:381.20,563
PheCode:279.00,564
PheCode:280.10,565
PheCode:246.00,566
8061-4,567
15205-8,568
4485-9,569
4498-2,570
2339-0,571
RXNORM:42372,572
RXNORM:7623,573
PheCode:483.00,574
RXNORM:8638,575
RXNORM:3254,576
PheCode:947.00,577
6110-1,578
6156-4,579
6109-3,580
6106-9,581
6153-1,582
7369-2,583
6107-7,584
PheCode:279.10,585
PheCode:946.00,586
2458-8,587
19113-0,588
4531-0,589
2465-3,590
2472-9,591
X1166-8,592
11256-5,593
3013-0,594
8099-4,595
21582-2,596
53935-3,597
X1729-3,598
15210-8,599
XC57-0,600
86122-9,601
86130-2,602
25296-5,603
85977-7,604
40974-8,605
85954-6,606
40973-0,607
27395-3,608
40969-8,609
86147-6,610
86009-8,611
30153-1,612
85991-8,613
86107-0,614
86136-9,615
86098-1,616
86080-9,617
86064-3,618
86052-8,619
86045-2,620
86039-5,621
86169-0,622
86024-7,623
34167-7,624
7790-9,625
CCS-PCS:173,626
RXNORM:47686,627
RXNORM:87636,628
RXNORM:40114,629
RXNORM:253146,630
PheCode:313.20,631
33219-7,632
30405-5,633
798-9,634
33218-9,635
19161-9,636
800-3,637
10381-2,638
7793-3,639
774-0,640
702-1,641
749-2,642
740-1,643
22310-7,644
31418-7,645
RXNORM:18603,646
RXNORM:135391,647
RXNORM:108118,648
RXNORM:2353,649
RXNORM:384410,650
19123-9,651
27038-9,652
31017-7,653
32998-7,654
6025-1,655
6212-5,656
6124-2,657
6232-3,658
6041-8,659
PheCode:930.00,660
RXNORM:14584,661
RXNORM:352376,662
48643-1,663
48642-3,664
PheCode:764.00,665
RXNORM:28200,666
6598-7,667
5213-4,668
51584-1,669
22128-3,670
22135-8,671
PheCode:480.00,672
57751-0,673
PheCode:1013.00,674
RXNORM:733,675
PheCode:079.90,676
CCS-PCS:130,677
RXNORM:216554,678
RXNORM:40790,679
RXNORM:5966,680
RXNORM:1223,681
RXNORM:4457,682
RXNORM:7242,683
RXNORM:6960,684
PheCode:599.40,685
NDFRT:N0000029166,686
NDFRT:N0000029307,687
PheCode:536.30,688
2501-5,689
RXNORM:6470,690
7796-6,691
X1429-0,692
2811-8,693
RXNORM:1827,694
5643-2,695
PheCode:318.00,696
NDFRT:N0000029106,697
RXNORM:8629,698
79177-2,699
34713-8,700
PheCode:301.10,701
RXNORM:25480,702
RXNORM:321988,703
PheCode:623.00,704
RXNORM:107011,705
PheCode:592.11,706
RXNORM:8120,707
RXNORM:7454,708
PheCode:555.10,709
PheCode:572.00,710
PheCode:560.40,711
RXNORM:52582,712
RXNORM:7646,713
20479-2,714
19162-7,715
25514-1,716
6443-6,717
PheCode:561.00,718
2324-2,719
16362-6,720
5761-2,721
5763-8,722
PheCode:455.00,723
PheCode:564.80,724
X1080-1,725
PheCode:565.00,726
1988-5,727
PheCode:264.10,728
XC33-1,729
2484-4,730
PheCode:556.10,731
6886-6,732
6939-3,733
CCS-PCS:76,734
CCS-PCS:224,735
PheCode:790.10,736
PheCode:514.00,737
RXNORM:2551,738
RXNORM:191831,739
PheCode:681.70,740
PheCode:259.00,741
PheCode:569.00,742
2483-6,743
XC367-3,744
39803-2,745
PheCode:246.70,746
PheCode:345.30,747
PheCode:292.40,748
RXNORM:114477,749
CCS-PCS:199,750
RXNORM:4018,751
PheCode:345.10,752
PheCode:345.00,753
PheCode:300.00,754
RXNORM:2356,755
RXNORM:10454,756
RXNORM:5553,757
RXNORM:596,758
RXNORM:3361,759
RXNORM:31765,760
CCS-PCS:219,761
RXNORM:4511,762
RXNORM:7407,763
PheCode:132.00,764
RXNORM:33199,765
RXNORM:6069,766
RXNORM:847083,767
PheCode:136.00,768
PheCode:567.00,769
NDFRT:N0000029090,770
RXNORM:8091,771
NDFRT:N0000029167,772
RXNORM:48937,773
RXNORM:49737,774
RXNORM:5093,775
RXNORM:6754,776
RXNORM:107606,777
CCS-PCS:96,778
X2012-3,779
X1686-5,780
NDFRT:N0000029358,781
NDFRT:N0000029443,782
RXNORM:34322,783
35610-5,784
35624-6,785
X7011-0,786
X7003-7,787
X7005-2,788
X7004-5,789
X7008-6,790
X7006-0,791
RXNORM:38400,792
RXNORM:7213,793
RXNORM:237159,794
PheCode:658.00,795
PheCode:798.00,796
X1747-5,797
2064-4,798
41395-5,799
5633-3,800
3167-4,801
PheCode:070.90,802
31204-1,803
22320-6,804
13954-3,805
22322-2,806
16933-4,807
46128-5,808
10863-9,809
6771-0,810
5247-2,811
5358-7,812
PheCode:297.00,813
RXNORM:19552,814
PheCode:573.90,815
PheCode:295.30,816
PheCode:295.20,817
PheCode:871.30,818
20405-7,819
2514-8,820
20409-9,821
20454-5,822
2349-9,823
PheCode:528.50,824
PheCode:317.00,825
3298-7,826
4024-6,827
4073-3,828
10976-9,829
3414-0,830
PheCode:090.00,831
PheCode:070.00,832
11258-1,833
31844-4,834
PheCode:070.20,835
22314-9,836
20575-7,837
11011-4,838
7905-3,839
CCS-PCS:83,840
PheCode:1008.00,841
PheCode:512.20,842
PheCode:070.30,843
13969-1,844
2158-4,845
CCS-PCS:179,846
NDFRT:N0000029196,847
RXNORM:253174,848
PheCode:770.00,849
53962-7,850
PheCode:604.10,851
RXNORM:117466,852
7906-1,853
34597-5,854
PheCode:819.00,855
CCS-PCS:32,856
2191-5,857
1668-3,858
8098-6,859
2986-8,860
21198-7,861
PheCode:626.80,862
38476-8,863
9813-7,864
2243-4,865
10501-5,866
13967-5,867
2839-9,868
30089-7,869
11276-3,870
PheCode:256.00,871
PheCode:256.40,872
PheCode:255.00,873
13362-9,874
28009-9,875
X1178-3,876
2609-6,877
2218-6,878
2232-7,879
2668-2,880
19049-6,881
2671-6,882
2193-1,883
2141-0,884
PheCode:227.10,885
1763-2,886
6765-2,887
2915-7,888
31208-2,889
PheCode:199.00,890
PheCode:340.10,891
PheCode:704.20,892
PheCode:379.00,893
PheCode:626.14,894
PheCode:737.30,895
RXNORM:6691,896
RXNORM:2582,897
PheCode:380.10,898
PheCode:626.11,899
RXNORM:7258,900
PheCode:625.00,901
2118-8,902
PheCode:526.40,903
42247-7,904
4621-9,905
48343-8,906
4546-8,907
32017-6,908
4552-6,909
X1884-6,910
4576-5,911
20507-0,912
47222-5,913
24110-9,914
PheCode:636.10,915
PheCode:647.00,916
RXNORM:37806,917
20404-0,918
